Use,Nomenclature,ReporterISO3,ProductCode,ReporterName,PartnerISO3,PartnerName,Year,TradeFlowName,TradeFlowCode,TradeValue in 1000 USD
Cladding tube,S4,KOR,69987,"Korea, Rep.",CAN,Canada,2019,Import,5,0.75
Cladding tube,S4,KOR,69987,"Korea, Rep.",CAN,Canada,2021,Import,5,0.681
Cladding tube,S4,KOR,69987,"Korea, Rep.",CHE,Switzerland,2015,Import,5,1.961
Cladding tube,S4,KOR,69987,"Korea, Rep.",CHE,Switzerland,2016,Import,5,0.874
Cladding tube,S4,KOR,69987,"Korea, Rep.",CHE,Switzerland,2017,Import,5,0.459
Cladding tube,S4,KOR,69987,"Korea, Rep.",CHE,Switzerland,2018,Import,5,0.327
Cladding tube,S4,KOR,69987,"Korea, Rep.",CHE,Switzerland,2019,Import,5,0.747
Cladding tube,S4,KOR,69987,"Korea, Rep.",CHE,Switzerland,2020,Import,5,4.637
Cladding tube,S4,KOR,69987,"Korea, Rep.",CHN,China,2015,Import,5,395.475
Cladding tube,S4,KOR,69987,"Korea, Rep.",CHN,China,2016,Import,5,560.665
Cladding tube,S4,KOR,69987,"Korea, Rep.",CHN,China,2017,Import,5,574.139
Cladding tube,S4,KOR,69987,"Korea, Rep.",CHN,China,2018,Import,5,399.308
Cladding tube,S4,KOR,69987,"Korea, Rep.",CHN,China,2019,Import,5,369.23
Cladding tube,S4,KOR,69987,"Korea, Rep.",CHN,China,2020,Import,5,219.201
Cladding tube,S4,KOR,69987,"Korea, Rep.",CHN,China,2021,Import,5,249.299
Cladding tube,S4,KOR,69987,"Korea, Rep.",DEU,Germany,2015,Import,5,25.742
Cladding tube,S4,KOR,69987,"Korea, Rep.",DEU,Germany,2016,Import,5,1018.911
Cladding tube,S4,KOR,69987,"Korea, Rep.",DEU,Germany,2017,Import,5,246.412
Cladding tube,S4,KOR,69987,"Korea, Rep.",DEU,Germany,2018,Import,5,115.013
Cladding tube,S4,KOR,69987,"Korea, Rep.",DEU,Germany,2019,Import,5,367.733
Cladding tube,S4,KOR,69987,"Korea, Rep.",DEU,Germany,2020,Import,5,33.068
Cladding tube,S4,KOR,69987,"Korea, Rep.",DEU,Germany,2021,Import,5,60.671
Cladding tube,S4,KOR,69987,"Korea, Rep.",FRA,France,2015,Import,5,249.724
Cladding tube,S4,KOR,69987,"Korea, Rep.",FRA,France,2016,Import,5,1320.151
Cladding tube,S4,KOR,69987,"Korea, Rep.",FRA,France,2017,Import,5,6494.535
Cladding tube,S4,KOR,69987,"Korea, Rep.",FRA,France,2018,Import,5,8822.104
Cladding tube,S4,KOR,69987,"Korea, Rep.",FRA,France,2019,Import,5,4146.132
Cladding tube,S4,KOR,69987,"Korea, Rep.",FRA,France,2020,Import,5,4495.501
Cladding tube,S4,KOR,69987,"Korea, Rep.",FRA,France,2021,Import,5,11299.682
Cladding tube,S4,KOR,69987,"Korea, Rep.",GBR,United Kingdom,2015,Import,5,4.548
Cladding tube,S4,KOR,69987,"Korea, Rep.",GBR,United Kingdom,2016,Import,5,8.137
Cladding tube,S4,KOR,69987,"Korea, Rep.",GBR,United Kingdom,2017,Import,5,2.636
Cladding tube,S4,KOR,69987,"Korea, Rep.",GBR,United Kingdom,2018,Import,5,3.901
Cladding tube,S4,KOR,69987,"Korea, Rep.",GBR,United Kingdom,2019,Import,5,1.409
Cladding tube,S4,KOR,69987,"Korea, Rep.",GBR,United Kingdom,2020,Import,5,5.114
Cladding tube,S4,KOR,69987,"Korea, Rep.",GBR,United Kingdom,2021,Import,5,3.472
Cladding tube,S4,KOR,69987,"Korea, Rep.",HKG,"Hong Kong, China",2015,Import,5,24.307
Cladding tube,S4,KOR,69987,"Korea, Rep.",HKG,"Hong Kong, China",2016,Import,5,45.858
Cladding tube,S4,KOR,69987,"Korea, Rep.",HKG,"Hong Kong, China",2017,Import,5,183.661
Cladding tube,S4,KOR,69987,"Korea, Rep.",HKG,"Hong Kong, China",2018,Import,5,173.112
Cladding tube,S4,KOR,69987,"Korea, Rep.",HKG,"Hong Kong, China",2019,Import,5,249.588
Cladding tube,S4,KOR,69987,"Korea, Rep.",HKG,"Hong Kong, China",2020,Import,5,335.759
Cladding tube,S4,KOR,69987,"Korea, Rep.",HKG,"Hong Kong, China",2021,Import,5,308.176
Cladding tube,S4,KOR,69987,"Korea, Rep.",HUN,Hungary,2015,Import,5,10.334
Cladding tube,S4,KOR,69987,"Korea, Rep.",IND,India,2019,Import,5,3.679
Cladding tube,S4,KOR,69987,"Korea, Rep.",ITA,Italy,2020,Import,5,0.229
Cladding tube,S4,KOR,69987,"Korea, Rep.",ITA,Italy,2021,Import,5,0.426
